Доставить / Купить / Подарить			Курьерские услуги	
	Услуги пешего курьера			Услуги пешего курьера
	Услуги курьера на авто			Услуги курьера на авто
	Курьер на регулярное сотрудничество			Курьер на регулярное сотрудничество
	Курьер на день			Курьер на день
	Доставка еды из ресторанов/кафе/фастфуд			Доставка еды из ресторанов
	Срочная доставка			Срочная доставка
	Купить и доставить			Купить и доставить
	Доставка продуктов			Доставка продуктов
	Приобретение и отправка товара			
	Купить и доставить продукты/одежду/прочие товары			
	Вручение подарка			
				
Компьютерная помощь			Компьютерная помощь	
	Установка и настройка ОС, программ			Установка и настройка операц. систем, программ
	Ремонт мониторов			Ремонт мониторов
	Настройка и ремонт оргтехники			Настройка и ремонт оргтехники
	Ремонт и замена комплектующих			Ремонт и замена комплектующих
	Восстановление данных			Восстановление данных
	Настройка интернета и Wi-Fi			Настройка интернета и Wi-Fi
	Ремонт компьютеров и ноутбуков			Ремонт компьютеров и ноутбуков
	Удаление вирусов			Удаление вирусов
	Консультация и обучение			Консультация и обучение
				
Фото- и видео-услуги			Фото- и видео-услуги	
	Видеосъемка			Видеосъемка
	Фотосъемка			Фотосъемка
	Обработка фото			Обработка фото
	Обработка и монтаж видео			Обработка и монтаж видео
	Ретушь			Ретушь фотографий
	Видеопрезентации, заставки, слайд-шоу			Видеопрезентации, заставки, слайд-шоу
	Оцифровка			Оцифровка
				
Дизайн			Дизайн	
	Видеопрезентации, заставки, слайд-шоу			Видеопрезентации, заставки, слайд-шоу
	Видеосъемка			Видеосъемка
	Обработка фото			Обработка фото
	Обработка и монтаж видео			Обработка и монтаж видео
	Ретушь фотографий			Ретушь фотографий
	Монтаж и цветокоррекция видео			Монтаж и цветокоррекция видео
	Создание видеороликов под ключ			Создание видеороликов под ключ
	Фотосъемка			Фотосъемка
	Оцифровка			Оцифровка
	Инфографика			
	Презентации			
	Баннеры			
	Дизайн интерьеров и архитектура			
	3D-графика			
	Буклеты / Визитки / Листовки			
				
Ремонт цифровой техники			Ремонт цифровой техники	
	Аудиотехника			Аудиотехника и системы
	Спутниковые антенны			Спутниковые и эфирные антенны
	Игровые приставки			Игровые приставки
	Планшеты и телефоны			Планшеты и телефоны
	Фото/видеоотехника			Видео/фототехника
	Аудио-техника и системы			Аудио-техника и системы
	Автомобильная электроника			Автомобильная электроника
	Телевизоры и мониторы			Телевизоры и мониторы
	Видео-фото техника			Видео-фото техника
				
Виртуальный помощник			Виртуальный помощник	
	Размещение объявлений			Размещение объявлений
	Работа в Excel, Power Point и т.п			Работа в Excel, Power Point и т.п
	Виртуальный ассистент			Виртуальный ассистент
	Работа с текстом, копирайтинг, переводы			Работа с текстом, копирайтинг, переводы
	Расшифровка аудио- и видеозаписей			Расшифровка аудио- и видеозаписей
	Поиск и обработка информации			Поиск и обработка информации
	Реклама и продвижение в интернете			Реклама и продвижение в интернете
	Обзвон			Обзвон по базе
	Контент-менджер/Наполнение сайта			
	Написание статей, рефератов, стихов, рассказов			
				
Бытовой ремонт			Бытовой ремонт	
	Электромонтажные работы			Электромонтажные работы
	Плиточные работы			Укладка плитки
	Мастер на час			Мастер на час
	Сборка и ремонт мебели			Сборка и ремонт мебели
	Отделочные работы			Отделочные работы
	Сантехнические работы			Сантехнические работы
	Установка и ремонт дверей, замков			Установка и ремонт дверей, замков
	Работа с электрикой			Работа с электрикой
