


----------------------------------------------------------

Наклеить защитную пленку на экраны	BAD not-found	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.774	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.226
	мобильные аксессуары(1;1.0;защитн пленк), экран(1;1.0;экра)
Починить кнопку на iPhone 4	BAD not-found	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;почин), гаджет(1;1.0;iphon)
Отремонтировать iphone	BAD not-found	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;отремонтирова), гаджет(1;1.0;iphon)
Необходимо починить кнопку iPhone 5	BAD not-found	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;почин), гаджет(1;1.0;iphon)
Отремонтировать iPhone 5	BAD not-found	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;отремонтирова), гаджет(1;1.0;iphon)
Ремонт iPhone 4S	BAD not-found	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт iPhone в Марьино	BAD not-found	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	гаджет(1;1.0;iphon), ремонт(1;1.0;ремонт)
Ремонт iPhone 3 на Ленинском проспекте	BAD not-found	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Настроить (отремонтировать) микрофон на планшете	BAD not-found	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.889	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.111
	ремонт(1;1.0;отремонтирова), аудио(1;1.0;микрофон), настройка(1;1.0;настро), гаджет(1;1.0;планшет), электроника(1;1.0;планшет)
Ремонт iPhone 4, белый	BAD not-found	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
