


----------------------------------------------------------

Ремонт двух iPhone S	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Отремонтировать два iPhone 6 и 5S	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;отремонтирова), гаджет(1;1.0;iphon)
Ремонт iPhone	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт утопленного iPhone 6	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт IPhone 6	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	гаджет(1;1.0;iphon), ремонт(1;1.0;ремонт)
Ремонт IPhone 4	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт iPhone 6	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	гаджет(1;1.0;iphon), ремонт(1;1.0;ремонт)
Ремонт iPhone 5	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт планшета	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.889	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.111
	ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет), электроника(1;1.0;планшет)
Ремонт Iphone 5s	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Починить 5 IPhone	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;почин), гаджет(1;1.0;iphon)
Ремонт 5 iPhone	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт и прошивка iPhone 3GS	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), прошивка(1;1.0;прошивк), гаджет(1;1.0;iphon)
Отремонтировать iPhone 4	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;отремонтирова), гаджет(1;1.0;iphon)
Ремонт планшета iPad 2	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.889	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.111
	гаджет(1;1.0;ipad), ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет), электроника(1;1.0;планшет)
Планшет Irbis TG 97. Отходит usb-вход	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.660	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.340
	запчасти(1;1.0;усб-вход), производитель телефонов(1;0.3;irbis), производитель тв(1;0.3;irbis), производитель планшетов(1;0.3;irbis), гаджет(1;1.0;планшет), электроника(1;1.0;планшет)
Отремонтировать планшет	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.889	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.111
	ремонт(1;1.0;отремонтирова), гаджет(1;1.0;планшет), электроника(1;1.0;планшет)
Отремонтировать iPhone 4S Белый	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;отремонтирова), гаджет(1;1.0;iphon)
Ремонт iPhone 4G	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Отремонтировать iPhone 4s	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;отремонтирова), гаджет(1;1.0;iphon)
Ремонт iPhone 4S	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт iPhone 5c	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт 2-х планшетов	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.889	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.111
	ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет), электроника(1;1.0;планшет)
Ремонт iPhone 5s	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт iPhone 5C	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт iPhone 5 в Алтуфьево	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Айфон отремонтировать	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	гаджет(1;1.0;айфон), ремонт(1;1.0;отремонтирова)
Ремонт IPhone 5	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;iphon)
Ремонт Айфона 5	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	гаджет(1;1.0;айфон), ремонт(1;1.0;ремонт)
Отремонтировать планшеты ( Зеленоград)	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.889	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.111
	ремонт(1;1.0;отремонтирова), гаджет(1;1.0;планшет), электроника(1;1.0;планшет)
Ремонт айфон 5s	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.779	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.221
	ремонт(1;1.0;ремонт), гаджет(1;1.0;айфон)



----------------------------------------------------------

