
Провести диагностику смартфона	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.981	Другое = 0.019
	провести(1;1.0;провест), диагностика(1;1.0;диагностик), гаджет(1;1.0;смартфон), телефон(1;1.0;смартфон)
Провести диагностику телефона	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.981	Другое = 0.019
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), провести(1;1.0;провест), диагностика(1;1.0;диагностик)
Провести диагностику Sony Experia Z	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.652	Другое = 0.348
	провести(1;1.0;провест), диагностика(1;1.0;диагностик), производитель электроники(1;0.3;son)
Ремонт Apple iPod touch 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;ipod), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;appl), производитель телефонов(1;0.3;appl), производитель смарт-часов(1;0.3;appl), производитель планшетов(1;0.3;appl)
Ремонт планшета Digma iDsD10 3G	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;digm), производитель телефонов(1;0.3;digm), производитель планшетов(1;0.3;digm), гаджет(1;1.0;планшет)
Заменить дисплей айфон 5c	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.937	Ремонт цифровой техники = 0.063
	замена(1;1.0;замен), редактирование(1;1.0;замен), гаджет(1;1.0;айфон), экран(1;1.0;диспл)
Прошить Motorola XT910 (Razr Maxx)	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;motorol), производитель телефонов(1;0.3;motorol), производитель смарт-часов(1;0.3;motorol), производитель планшетов(1;0.3;motorol), прошить(1;1.0;прош), модель телефона(1;0.3;razr), модель телефона(1;0.3;razr maxx)
Ремонт телефона Philips S388	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;philips), производитель аудио(1;0.3;philips), производитель планшетов(1;0.3;philips), гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;s388)
Заменить треснувший экран на айфон 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.937	Ремонт цифровой техники = 0.063
	экран(1;1.0;экра), замена(1;1.0;замен), редактирование(1;1.0;замен), гаджет(1;1.0;айфон)
Замена стекла (тача) Ipad 2	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;зам), гаджет(1;1.0;ipad), тач-скрин(1;1.0;тач), стекло(1;1.0;стекл)
Заменить стекло на iPhone 5S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), стекло(1;1.0;стекл), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 5s)
Ремонт телефона iPhone 5С	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт планшета Digma	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;digm), производитель телефонов(1;0.3;digm), производитель планшетов(1;0.3;digm), ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет)
Отремонтировать телефон iphone 4 withe	OK	Ремонт цифровой техники -> Планшеты и телефоны
